Challenge_Word,Elkonin_Count,E1,E2,E3,E4,E5,E6,Set
ace,2,hello,s,,,,,hello
ache,2,hello,k,,,,,hello
after,4,mudslide,f,t,gorilla,,,mudslide
aid,2,hello,d,,,,,hello
ale,2,hello,l,,,,,hello
appear,3,think,p,sound,,,,sound
are,1,pirate,,,,,,pirate
army,3,pirate,m,spider,,,,pirate
art,2,pirate,t,,,,,pirate
ate,2,hello,t,,,,,hello
autumn,4,baby_monkey,t,think,m,,,baby_monkey
away,3,orcs,w,hello,,,,hello
bait,3,b,hello,t,,,,hello
bake,3,b,hello,k,,,,hello
bar,2,b,pirate,,,,,pirate
bark,3,b,pirate,k,,,,pirate
bat,3,b,mudslide,t,,,,mudslide
bath,3,b,mudslide,th,,,,mudslide
bear,2,b,strong_wind,,,,,strong_wind
beard,3,b,sound,d,,,,sound
bed,3,b,listen,d,,,,listen
beep,3,b,spider,p,,,,spider
bell,3,b,listen,l,,,,listen
best,4,b,listen,s,t,,,listen
big,3,b,poop,g,,,,poop
bill,3,b,poop,l,,,,poop
bird,3,b,gorilla,d,,,,gorilla
blew,3,b,l,that_guy,,,,that_guy
blow,3,b,l,scare,,,,scare
blue,3,b,l,that_guy,,,,that_guy
board,3,b,choice,d,,,,choice
boast,4,b,scare,s,t,,,scare
boat,3,b,scare,t,,,,scare
boil,3,b,howler_monkey,l,,,,howler_monkey
bone,3,b,scare,n,,,,scare
book,3,b,backpack,k,,,,backpack
born,3,b,choice,n,,,,choice
bought,3,b,orcs,t,,,,orcs
box,3,b,orcs,x,,,,orcs
boy,2,b,howler_monkey,,,,,howler_monkey
brain,4,b,r,hello,n,,,hello
bread,4,b,r,listen,d,,,listen
brew,3,b,r,that_guy,,,,that_guy
brief,4,b,r,spider,f,,,spider
brown,4,b,r,bump_head,n,,,bump_head
bruise,4,b,r,that_guy,s,,,that_guy
brush,4,b,r,think,sh,,,think
brute,4,b,r,that_guy,t,,,that_guy
bug,3,b,think,g,,,,think
burn,3,b,gorilla,n,,,,gorilla
burp,3,b,gorilla,p,,,,gorilla
but,3,b,think,t,,,,think
by,2,b,explorer,,,,,explorer
cab,3,c,mudslide,b,,,,mudslide
cake,3,c,hello,k,,,,hello
can,3,c,mudslide,n,,,,mudslide
cap,3,c,mudslide,p,,,,mudslide
captain,6,c,mudslide,p,t,listen,n,mudslide
car,2,c,pirate,,,,,pirate
card,3,c,pirate,d,,,,pirate
care,2,c,strong_wind,,,,,strong_wind
carrot,4,c,strong_wind,orcs,t,,,strong_wind
carry,3,c,strong_wind,spider,,,,strong_wind
cat,3,c,mudslide,t,,,,mudslide
caught,3,c,orcs,t,,,,orcs
cause,3,c,orcs,s,,,,orcs
cave,3,c,hello,v,,,,hello
ceareal,4,s,sound,spider,l,,,sound
chain,3,ch,hello,n,,,,hello
chair,2,ch,strong_wind,,,,,strong_wind
cheer,2,ch,sound,,,,,sound
child,4,ch,explorer,l,d,,,explorer
choose,3,ch,that_guy,s,,,,that_guy
church,3,ch,gorilla,ch,,,,gorilla
churn,3,ch,gorilla,n,,,,gorilla
claw,3,c,l,baby_monkey,,,,baby_monkey
clean,4,c,l,spider,n,,,spider
clear,3,c,l,sound,,,,sound
close,4,c,l,scare,s,,,scare
club,4,c,l,think,b,,,think
clue,3,c,l,that_guy,,,,that_guy
coast,4,c,scare,s,t,,,scare
coat,3,c,scare,t,,,,scare
coil,3,c,howler_monkey,l,,,,howler_monkey
coin,3,c,howler_monkey,n,,,,howler_monkey
cold,4,c,scare,l,d,,,scare
collar,4,c,orcs,l,r,,,orcs
come,3,c,think,m,,,,think
cone,3,c,scare,n,,,,scare
cook,3,c,backpack,k,,,,backpack
cool,3,c,that_guy,l,,,,that_guy
cord,3,c,choice,d,,,,choice
cork,3,c,choice,k,,,,choice
corn,3,c,choice,n,,,,choice
could,3,c,backpack,d,,,,backpack
count,4,c,bump_head,n,t,,,bump_head
cow,2,c,bump_head,,,,,bump_head
crab,4,c,r,mudslide,b,,,mudslide
crash,4,c,r,mudslide,sh,,,mudslide
crawl,4,c,r,baby_monkey,l,,,baby_monkey
crew,3,c,r,that_guy,,,,that_guy
crook,4,c,r,backpack,k,,,backpack
cruise,4,c,r,that_guy,s,,,that_guy
cry,3,c,r,explorer,,,,explorer
crypt,5,c,r,poop,pirate,t,,poop
cub,3,c,think,b,,,,think
cube,3,c,that_guy,b,,,,that_guy
cue,2,c,that_guy,,,,,that_guy
cupid,5,c,that_guy,p,poop,d,,that_guy
cure,2,c,give,,,,,give
curious,5,c,give,spider,think,s,,give
curl,3,c,gorilla,l,,,,gorilla
cut,3,c,think,t,,,,think
cute,3,c,that_guy,t,,,,that_guy
dad,3,d,mudslide,d,,,,mudslide
dairy,3,d,strong_wind,spider,,,,strong_wind
dare,2,d,strong_wind,,,,,strong_wind
dark,3,d,pirate,k,,,,pirate
dash,3,d,mudslide,sh,,,,mudslide
date,3,d,hello,t,,,,hello
dawn,3,d,baby_monkey,n,,,,baby_monkey
day,2,d,hello,,,,,hello
deer,2,d,sound,,,,,sound
did,3,d,poop,d,,,,poop
die,2,d,explorer,,,,,explorer
dig,3,d,poop,g,,,,poop
dirt,3,d,gorilla,t,,,,gorilla
dive,3,d,explorer,v,,,,explorer
dog,3,d,orcs,g,,,,orcs
dollar,4,d,orcs,l,r,,,orcs
done,3,d,think,n,,,,think
dough,2,d,scare,,,,,scare
dove,3,d,think,v,,,,think
down,3,d,bump_head,n,,,,bump_head
draw,3,d,r,baby_monkey,,,,baby_monkey
dread,4,d,r,listen,d,,,listen
dream,4,d,r,spider,m,,,spider
drew,3,d,r,that_guy,,,,that_guy
drive,4,d,r,explorer,v,,,explorer
drought,4,d,r,bump_head,t,,,bump_head
drown,4,d,r,bump_head,n,,,bump_head
each,2,spider,ch,,,,,spider
earn,2,gorilla,n,,,,,gorilla
eat,2,spider,t,,,,,spider
eight,2,hello,t,,,,,hello
end,3,listen,n,d,,,,listen
ensure,4,listen,n,sh,give,,,give
enter,4,spider,n,t,gorilla,,,spider
euro,2,give,scare,,,,,give
eve,2,spider,v,,,,,spider
every,4,listen,v,gorilla,spider,,,listen
face,3,f,hello,s,,,,hello
far,2,f,pirate,,,,,pirate
farm,3,f,pirate,m,,,,pirate
faster,5,f,mudslide,s,t,gorilla,,mudslide
fawn,3,f,baby_monkey,n,,,,baby_monkey
fear,2,f,sound,,,,,sound
feed,3,f,spider,d,,,,spider
feel,3,f,spider,l,,,,spider
feet,3,f,spider,t,,,,spider
fern,3,f,gorilla,n,,,,gorilla
few,2,f,that_guy,,,,,that_guy
field,4,f,spider,l,d,,,spider
fight,3,f,explorer,t,,,,explorer
find,4,f,explorer,n,d,,,explorer
fine,3,f,explorer,n,,,,explorer
fire,3,f,explorer,r,,,,explorer
first,4,f,gorilla,s,t,,,gorilla
five,3,f,explorer,v,,,,explorer
flash,4,f,l,mudslide,sh,,,mudslide
flat,4,f,l,mudslide,t,,,mudslide
flew,3,f,l,that_guy,,,,that_guy
flow,3,f,l,scare,,,,scare
fluke,4,f,l,that_guy,k,,,that_guy
flute,4,f,l,that_guy,t,,,that_guy
fly,3,f,l,explorer,,,,explorer
foe,2,f,scare,,,,,scare
foil,3,f,howler_monkey,l,,,,howler_monkey
food,3,f,that_guy,d,,,,that_guy
foot,3,f,backpack,t,,,,backpack
for,2,f,choice,,,,,choice
force,3,f,choice,s,,,,choice
ford,3,f,choice,d,,,,choice
form,3,f,choice,m,,,,choice
fort,3,f,choice,t,,,,choice
found,4,f,bump_head,n,d,,,bump_head
fountain,6,f,bump_head,n,t,listen,n,bump_head
four,2,f,choice,,,,,choice
fraud,4,f,r,orcs,d,,,orcs
frog,4,f,orcs,orcs,g,,,orcs
frown,4,f,r,bump_head,n,,,bump_head
fruit,4,f,r,that_guy,t,,,that_guy
fry,3,f,r,explorer,,,,explorer
fuel,3,f,that_guy,l,,,,that_guy
funny,4,f,think,n,spider,,,think
fur,2,f,gorilla,,,,,gorilla
fury,3,f,give,spider,,,,give
fuse,3,f,that_guy,s,,,,that_guy
game,3,g,hello,m,,,,hello
gate,3,g,hello,t,,,,hello
gear,2,g,sound,,,,,sound
get,3,g,listen,t,,,,listen
girl,3,g,gorilla,l,,,,gorilla
globe,4,g,l,scare,b,,,scare
glue,3,g,l,that_guy,,,,that_guy
go,2,g,scare,,,,,scare
goat,3,g,scare,t,,,,scare
goes,3,g,scare,s,,,,scare
good,3,g,backpack,d,,,,backpack
gorge,3,g,choice,j,,,,choice
got,3,g,orcs,t,,,,orcs
gown,3,g,bump_head,n,,,,bump_head
grab,4,g,r,mudslide,b,,,mudslide
green,4,g,r,spider,n,,,spider
grew,3,g,r,that_guy,,,,that_guy
grey,3,g,r,hello,,,,hello
grief,4,g,r,spider,f,,,spider
ground,5,g,r,bump_head,n,d,,bump_head
group,4,g,r,that_guy,p,,,that_guy
grow,3,g,r,scare,,,,scare
hair,2,h,strong_wind,,,,,strong_wind
happy,4,h,mudslide,p,spider,,,mudslide
hat,3,h,mudslide,t,,,,mudslide
hawk,3,h,baby_monkey,k,,,,baby_monkey
hay,2,h,hello,,,,,hello
he,2,h,spider,,,,,spider
head,3,h,listen,d,,,,listen
hear,2,h,sound,,,,,sound
heat,3,h,spider,t,,,,spider
help,4,h,listen,l,p,,,listen
hen,3,h,listen,n,,,,listen
her,2,h,gorilla,,,,,gorilla
herd,3,h,gorilla,d,,,,gorilla
high,2,h,explorer,,,,,explorer
hill,3,h,poop,l,,,,poop
him,3,h,poop,m,,,,poop
hind,4,h,explorer,n,d,,,explorer
hog,3,h,orcs,g,,,,orcs
home,3,h,scare,m,,,,scare
hook,3,h,backpack,k,,,,backpack
hoot,3,h,that_guy,t,,,,that_guy
hope,3,h,scare,p,,,,scare
horn,3,h,choice,n,,,,choice
hose,3,h,scare,s,,,,scare
hot,3,h,orcs,t,,,,orcs
house,3,h,bump_head,s,,,,bump_head
how,2,h,bump_head,,,,,bump_head
howl,3,h,bump_head,l,,,,bump_head
hue,2,h,that_guy,,,,,that_guy
hug,3,h,think,g,,,,think
hum,3,h,think,m,,,,think
hurt,3,h,gorilla,t,,,,gorilla
if,2,poop,f,,,,,poop
in,2,poop,n,,,,,poop
insure,4,poop,n,sh,give,,,give
is,2,poop,s,,,,,poop
it,2,poop,t,,,,,poop
jail,3,j,hello,l,,,,hello
jar,2,j,pirate,,,,,pirate
jaw,2,j,baby_monkey,,,,,baby_monkey
jay,2,j,hello,,,,,hello
jet,3,j,listen,t,,,,listen
join,3,j,howler_monkey,n,,,,howler_monkey
joke,3,j,scare,k,,,,scare
joy,2,j,howler_monkey,,,,,howler_monkey
jump,4,j,think,m,p,,,think
jury,3,j,give,spider,,,,give
just,4,j,think,s,t,,,think
keep,3,k,spider,p,,,,spider
key,2,k,spider,,,,,spider
kid,3,k,poop,d,,,,poop
kind,4,k,explorer,n,d,,,explorer
knee,2,n,spider,,,,,spider
knew,2,n,that_guy,,,,,that_guy
know,2,n,scare,,,,,scare
lab,3,l,mudslide,b,,,,mudslide
large,3,l,pirate,g,,,,pirate
lark,3,l,pirate,k,,,,pirate
lawn,3,l,baby_monkey,n,,,,baby_monkey
lead,3,l,spider,d,,,,spider
learn,3,l,gorilla,n,,,,gorilla
leave,3,l,spider,v,,,,spider
left,4,l,listen,f,t,,,listen
let,3,l,listen,t,,,,listen
letter,4,l,listen,t,gorilla,,,listen
lid,3,l,poop,d,,,,poop
lie,2,l,explorer,,,,,explorer
light,3,l,explorer,t,,,,explorer
like,3,l,explorer,k,,,,explorer
lip,3,l,poop,p,,,,poop
live,3,l,explorer,v,,,,explorer
loaf,3,l,scare,f,,,,scare
log,3,l,orcs,g,,,,orcs
long,4,l,orcs,n,g,,,orcs
look,3,l,backpack,k,,,,backpack
loop,3,l,that_guy,p,,,,that_guy
loud,3,l,bump_head,d,,,,bump_head
love,3,l,think,v,,,,think
low,2,l,scare,,,,,scare
loyal,3,l,howler_monkey,l,,,,howler_monkey
mad,3,m,mudslide,d,,,,mudslide
maid,3,m,hello,d,,,,hello
make,3,m,hello,k,,,,hello
man,3,m,mudslide,n,,,,mudslide
map,3,m,mudslide,p,,,,mudslide
mark,3,m,pirate,k,,,,pirate
math,3,m,mudslide,th,,,,mudslide
mature,4,m,think,t,give,,,give
may,2,m,hello,,,,,hello
me,2,m,spider,,,,,spider
mean,3,m,spider,n,,,,spider
meet,3,m,spider,t,,,,spider
men,3,m,listen,n,,,,listen
