Challenge_Word,Elkonin_Count,E1,E2,E3,E4,E5,E6,Gold_Coin_set,Image_text
make,3,m,hello,k,,,,hello,
may,2,m,hello,,,,,hello,
face,3,f,hello,s,,,,hello,
ace,2,hello,s,,,,,hello,
cake,3,c,hello,k,,,,hello,
ache,2,hello,k,,,,,hello,
rake,3,r,hello,k,,,,hello,
ray,2,r,hello,,,,,hello,
bake,3,b,hello,k,,,,hello,
shave,3,sh,hello,v,,,,hello,
gate,3,g,hello,t,,,,hello,
ate,2,hello,t,,,,,hello,
sale,3,s,hello,l,,,,hello,
ale,2,hello,l,,,,,hello,
say,2,s,hello,,,,,hello,
save,3,s,hello,v,,,,hello,
take,3,t,hello,k,,,,hello,
bait,3,b,hello,t,,,,hello,
jail,3,j,hello,l,,,,hello,
paid,3,p,hello,d,,,,hello,
aid,2,hello,d,,,,,hello,
pay,2,p,hello,,,,,hello,
jay,2,j,hello,,,,,hello,
wait,3,w,hello,t,,,,hello,
paint,4,p,hello,n,t,,,hello,
snail,4,s,n,hello,l,,,hello,
nail,3,n,hello,l,,,,hello,
train,4,t,r,hello,n,,,hello,
rain,3,r,hello,n,,,,hello,
sail,3,s,hello,l,,,,hello,
tail,3,t,hello,l,,,,hello,
brain,4,b,r,hello,n,,,hello,
chain,3,ch,hello,n,,,,hello,
rail,3,r,hello,l,,,,hello,
maid,3,m,hello,d,,,,hello,
table,4,t,hello,b,l,,,hello,
day,2,d,hello,,,,,hello,
say,2,s,hello,,,,,hello,
play,3,p,l,hello,,,,hello,
may,2,m,hello,,,,,hello,
today,4,t,that_guy,d,hello,,,hello,
away,3,orc,w,hello,,,,hello,
way,2,w,hello,,,,,hello,
okay,3,scare,k,hello,,,,hello,
hay,2,h,hello,,,,,hello,
pray,3,p,r,hello,,,,hello,
vein,3,v,hello,n,,,,hello,
veil,3,v,hello,l,,,,hello,
eight,2,hello,t,,,,,hello,
weight,3,w,hello,t,,,,hello,
they,2,th,hello,,,,,hello,
grey,3,g,r,hello,,,,hello,
prey,3,p,r,hello,,,,hello,
then,3,th,listen,n,,,,listen,
get,3,g,listen,t,,,,listen,
them,3,th,listen,m,,,,listen,
red,3,r,listen,d,,,,listen,
left,4,l,listen,f,t,,,listen,
men,3,m,listen,n,,,,listen,
let,3,l,listen,t,,,,listen,
tell,3,t,listen,l,,,,listen,
next,4,n,listen,x,t,,,listen,
best,4,b,listen,s,t,,,listen,
end,3,listen,n,d,,,,listen,
help,4,h,listen,l,p,,,listen,
yes,3,y,listen,s,,,,listen,
set,3,s,listen,t,,,,listen,
bed,3,b,listen,d,,,,listen,
ten,3,t,listen,n,,,,listen,
head,3,h,listen,d,,,,listen,
sweat,4,s,w,listen,t,,,listen,
wet,3,w,listen,t,,,,listen,
lead,3,l,listen,d,,,,listen,
