file name,text,index,left character,right character,left emote,right emote,RequireYN?,OnYes,OnNo,End Talkie ?,Talkie Motion
$Title,BoatGame_1_p1,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,left,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
Boat_0_1_Red_1_1_T1,Hey there Explorer!,0,Red,,1_MO_EP,,,,,,
Boat_0_1_Red_1_1_T2,I’m so excited to see you!,1,Red,,4_MO_EC,,,,,,
Boat_0_1_Red_1_1_T3,Thank you for agreeing to come along with me on such a short notice!,2,Red,,3_MO_EP,,,,,,
Boat_0_1_Red_2_1_T1,You see~ my friend Darwin said that he needs help watching over the Jungle kingdom while the King is away.,3,Red,,9_MO_EI,,,,,,
Boat_0_1_Red_2_1_T2,Prince Julius has been put in charge all by himself~ and needs as much help as he can get!,4,Red,,1_MO_EP,,,,,,
Boat_0_1_Red_3_1_T1,I know how reliable you are~ friend~ that's why I'm so happy you agreed to come along with us!,5,Red,,3_MO_EP,,,,,,
Boat_0_1_Red_3_1_T2,Plus~ this jungle is full of exciting games so I know that we’ll have so much fun!,6,Red,,4_MO_EC,,,,,,
,,,,,,,,,,,
$Voiceover,,,,,,,,,,,
Boat_0_1_Red_4_1_1,Let's find our way to Jungle Island Explorer!,,,,,,,,,,
Boat_0_1_Red_5_1_1,Start the engine by pressing the blue button.,,,,,,,,,,
Boat_0_1_Red_6_1_1,Now let's look for the island.,,,,,,,,,,
Boat_0_1_Red_7_1_1,To do that turn the steering wheel until you spot the island.,,,,,,,,,,
Boat_0_1_Red_8_1_1,I know you can do it Explorer!,,,,,,,,,,
Boat_0_1_Red_9_1_1,Alright Explorer!,,,,,,,,,,
Boat_0_1_Red_10_1_1,Let’s make sure this is Jungle Island!,,,,,,,,,,
Boat_0_1_Red_11_1_1,Move the picture of the island to the outline.,,,,,,,,,,
Boat_0_1_Red_12_1_1,Alright!,,,,,,,,,,
Boat_0_1_Red_13_1_1,Now~ move the throttle up to drive us to the Island!,,,,,,,,,,
Boat_0_1_Red_14_1_1,Alright Explorer!,,,,,,,,,,
Boat_0_1_Red_15_1_1,Are you ready to play?,,,,,,,,,,
Boat_0_1_Red_16_1_1,If so say Aye Aye Captain!,,,,,,,,,,
Boat_0_1_Red_17_1_1,Hmm.. it seems that your microphone is broken Explorer.,,,,,,,,,,
Boat_0_1_Red_18_1_1,But that's okay!,,,,,,,,,,
Boat_0_1_Red_19_1_1,Press the microphone button to continue.,,,,,,,,,,
Boat_0_1_Red_20_1_1,Good Job! I am too! Now honk the horn to let the boathouse know that we’re here Explorer!,,,,,,,,,,
,,,,,,,,,,,
$Title,BoatGame_2_p1,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,left,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
Boat_0_2_Red_1_T1,Whoa there Explorer!,0,Red,,5_MO_EP,,,,,,
Boat_0_2_Red_1_T2,We still have work to do on the island!,1,Red,,2_MO_EP,,,,,,
Boat_0_2_Red_1_T3,Well.. ,2,Red,,9_MO_EI,,,,,,
Boat_0_2_Red_1_T4,It wouldn't hurt to go on a little boat ride.,3,Red,,2_MO_EP,,,,,,
Boat_0_2_Red_1_T5,Do you want to go on another boat ride Explorer? ,4,Red,,9_MO_EP,,yes,goto5,goto6,,
Boat_0_2_Red_2_T1,All aboard!,5,Red,,4_MO_EC,,,,,yes,
Boat_0_2_Red_3_T1,Then we better get back to the task at hand~ Explorer!,6,Red,,14_MO_EP,,,,,yes,
,,,,,,,,,,,
$Voiceover,,,,,,,,,,,
Boat_0_2_Red_4_1,Alright Explorer! Do you remember how to start the engine?,,,,,,,,,,
Boat_0_2_Red_5_1,Start the engine by pressing the blue button.,,,,,,,,,,
Boat_0_2_Red_6_1,Alright Explorer! Now that the engine has started~ it’s time to find the island!,,,,,,,,,,
Boat_0_2_Red_7_1,Now~ let's look for the island. To do that~ turn the steering wheel until you spot the island. I know you can do it Explorer!,,,,,,,,,,
Boat_0_2_Red_8_1,Do you remember what to do next Explorer?,,,,,,,,,,
Boat_0_2_Red_9_1,Alright Explorer!  Let’s make sure this is Jungle Island! Move the picture of the island to the outline. ,,,,,,,,,,
Boat_0_2_Red_10_1,Excellent job Explorer! Now~ it’s time to make our way to the island! ,,,,,,,,,,
Boat_0_2_Red_11_1,Now~ move the throttle up to drive us to the Island!,,,,,,,,,,
Boat_0_2_Red_12_1,Alright Explorer! We’re approaching the lighthouse again! Do you remember what we’re supposed to do next? ,,,,,,,,,,
Boat_0_2_Red_13_1,Remember to honk the horn to let the boathouse know that we’re here Explorer!,,,,,,,,,,
,,,,,,,,,,,
$Title,BoatGame_2_p2,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,left,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
Boat_0_2_Red_14_T1,And we’re back~ Explorer!,0,Red,,4_MO_EC,,,,,,
Boat_0_2_Red_14_T2,Thank you for the boat ride!,1,Red,,3_MO_EP,,,,,,
Boat_0_2_Red_14_T3,It’s nice to take a break once and a while.,2,Red,,2_MO_EP,,,,,,
Boat_0_2_Red_14_T4,When you're ready~ come on out so we can get back to work.,3,Red,,1_MO_EP,,,,,,
,,,,,,,,,,,
$Title,BoatGame_3_p1,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,left,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
Boat_0_3_Red_1_T1,Do you want to go on another boat ride Explorer? ,0,Red,,9_MO_EO,,yes,goto7,goto1,,
Boat_0_3_Red_2_T1,Okay.,1,Red,,1_MO_EP,,,,,,
Boat_0_3_Red_2_T2,Then would you like to play on the ship?,2,Red,,9_MO_EO,,yes,goto3,goto6,,
Boat_0_3_Red_3_T1,Okay!,3,Red,,4_MO_EC,,,,,,
Boat_0_3_Red_3_T2,Have fun Explorer!,4,Red,,3_MO_EP,,,,,,
Boat_0_3_Red_3_T3,Just come on out when you’re ready!,5,Red,,2_MO_EP,,,,,yes,
Boat_0_3_Red_4_T1,Then we better get back to the task at hand~ Explorer!,6,Red,,3_MO_EP,,,,,yes,
Boat_0_3_Red_5_T1,Alright!,7,Red,,2_MO_EP,,,,,,
Boat_0_3_Red_5_T2,Let's have some fun~ Explorer!,8,Red,,3_MO_EP,,,,,,
Boat_0_3_Red_5_T3,All aboard!!,9,Red,,4_MO_EC,,,,,yes,
,,,,,,,,,,,
$Title,Dock_1_p1,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,left,,,,,,,,,,
$Talkie End,left,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,no,,,,,,,,,,
$Segments,,,,,,,,,,,
P_0_1_Red_1_1_T1,Hurray!,0,Red,,4_MO_EC,,,,,,
P_0_1_Red_1_1_T2,Welcome to the Jungle kingdom Explorer!,1,Red,,2_MO_EP,,,,,,
P_0_1_Red_1_1_T3,I’m so excited to learn and help out my friend! ,2,Red,,3_MO_EC,,,,,,
P_0_1_Red_1_1_T4,I can't wait for you to meet him!,3,Red,,1_MO_EP,,,,,,
P_0_1_Red_2_1_T1,Oh! There he is up ahead!,4,Red,,5_MO_EI,,,,,,
,,,,,,,,,,,
$Title,Dock_1_p2,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,up,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
P_0_1_Wally_3_T1,Let's get going.,0,Red,Wally,9_MC_EI,1_MO_EP,,,,,
,,,,,,,,,,,
$Title,LesterIntro_1_p1,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,right,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,no,,,,,,,,,,
$Dim BG End,no,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
P_1_4_Lester_1_T1,Howdy there friend!,0,,Lester,,2_MO_EP,,,,,
P_1_4_Lester_1_T2,My name is Lester~,1,,Lester,,1_MO_EP,,,,,
P_1_4_Lester_1_T3,and I absolutely love making stickers!,2,,Lester,,7_MO_EC,,,,,
P_1_4_Lester_2_T1,Say there!,3,,Lester,,6_MO_EP,,,,,
P_1_4_Lester_2_T2,I see you’ve got some coins there!,4,,Lester,,5_MO_EP,,,,,
P_1_4_Lester_2_T3,I'll tell you what~ if you give me three coins I’ll make you a one of a kind sticker!,5,,Lester,,1_MO_EP,,,,,
P_1_4_Lester_2_T4,I promise you won't find another kind like it!,6,,Lester,,6_MO_EP,,,,,
P_1_4_Lester_2_T5,Guaranteed! ,7,,Lester,,2_MO_EP,,,,,
P_1_4_Lester_2_T6,How does that sound?!,8,,Lester,,1_MO_EP,,,,,
P_1_4_Lester_3_T1,Why don't we try for one now!,9,,Lester,,9_MO_EP,,,,,
,,,,,,,,,,,
$Title,LesterIntro_1_p2,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,right,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,no,,,,,,,,,,
$Dim BG End,no,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
P_1_4_Lester_4_T1,Alright! Here you go! Now drag your sticker to the board to place it!,0,,Lester,,1_MO_EP,,,,,
P_1_4_Lester_4_T2,Careful!,1,,Lester,,8_MO_EP,,,,,
P_1_4_Lester_4_T3,You can only place your sticker once~ so when you hit yes~,2,,Lester,,6_MO_EP,,,,,
P_1_4_Lester_4_T4,make it count! ,3,,Lester,,5_MO_EC,,,,,
,,,,,,,,,,,
$Title,LesterIntro_1_p3,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,right,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,no,,,,,,,,,,
$Dim BG End,no,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,no,,,,,,,,,,
$Segments,,,,,,,,,,,
P_1_4_Lester_5_T1,Good job!,0,,Lester,,7_MO_EP,,,,,
P_1_4_Lester_5_T2,Now if you ever run out of space you can remove stickers!,1,,Lester,,1_MO_EP,,,,,
P_1_4_Lester_5_T3,However! Once you remove a sticker you can't get it back. ,2,,Lester,,6_MO_EP,,,,,
P_1_4_Lester_5_T4,So be careful!,3,,Lester,,8_MO_EP,,,,,
P_1_4_Lester_5_T5,If you ever want to place your stickers or view your collection~,4,,Lester,,1_MO_EP,,,,,
P_1_4_Lester_5_T6,call for me again and click the stickerboard! ,5,,Lester,,3_MO_EP,,,,,
P_1_4_Lester_6_T1,If you have the funds you can also buy more boards to place your stickers on!,6,,Lester,,1_MO_EP,,,,,
P_1_4_Lester_6_T2,I have MANY cool boards from my travels! so help yourself!,7,,Lester,,4_MO_EP,,,,,
,,,,,,,,,,,
$Title,LesterIntro_1_p4,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,right,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,no,,,,,,,,,,
$Dim BG End,no,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
P_1_4_Lester_7_T1,Isn't that exciting?!,0,,Lester,,7_MO_EP,,,,,
P_1_4_Lester_8_T1,I’m always a holler away~,1,,Lester,,2_MO_EP,,,,,
P_1_4_Lester_8_T2,so call me with the cart button if you ever need me again!,2,,Lester,,5_MO_EP,,,,,
,,,,,,,,,,,
$Title,LesterFull_1_p1,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,up,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
Sticker_0_2_Lester_1_T1,Whoaa!!,0,,Lester,,8_MO_EP,,,,,
Sticker_0_2_Lester_1_T2,Hold your stickers there Explorer! You’re all out of inventory space.,1,,Lester,,5_MO_EP,,,,,
Sticker_0_2_Lester_1_T3,Why don't you place some stickers or buy more boards to make room before you try to roll again!,2,,Lester,,1_MO_EP,,,,,
,,,,,,,,,,,
$Voiceover,,,,,,,,,,,
Sticker_0_C_Lester_1,Hmm~ a mighty fine sticker indeed!,0,,,,,,,,,
Sticker_0_C_Lester_2,What a good sticker!,1,,,,,,,,,
Sticker_0_C_Lester_3,A cute little thing! Can’t wait to make more for yah!,2,,,,,,,,,
$Voiceover,,3,,,,,,,,,
Sticker_0_UC_Lester_1,That’s a pretty cool sticker Explorer!,4,,,,,,,,,
Sticker_0_UC_Lester_2,What a cute sticker!,5,,,,,,,,,
Sticker_0_UC_Lester_3,I’m pretty proud of this one Explorer!,6,,,,,,,,,
$Voiceover,,7,,,,,,,,,
Sticker_0_R_Lester_1,I've never made a sticker like this one!,8,,,,,,,,,
Sticker_0_R_Lester_2,Not often do my stickers come out like this,9,,,,,,,,,
Sticker_0_R_Lester_3,Take care of this one Explorer~ it’s a rare one!,10,,,,,,,,,
$Voiceover,,11,,,,,,,,,
Sticker_0_L_Lester_1,WHOA! I-I’m speechless Explorer!,12,,,,,,,,,
Sticker_0_L_Lester_2,I’ve never made a cutie like this before!,13,,,,,,,,,
Sticker_0_L_Lester_3,This is legendary Explorer!,14,,,,,,,,,
,,,,,,,,,,,
$Title,LesterBuy_1_p1,,,,,,,,,,
$Quip Collection,yes,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,sides,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,no,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,no,,,,,,,,,,
$Segments,,,,,,,,,,,
Sticker_0_1_Lester_1_T1,Howdy there Explorer!,0,,Lester,,2_MO_EP,,,,,
Sticker_0_1_Lester_1_T2,You ready to roll?,1,,Lester,,7_MO_EP,,,,,
Sticker_0_1_Lester_1_T3,,2,,Lester,,1_MC_EP ,,,,yes,
Sticker_0_1_Lester_2_T1,Howdy there Explorer!,3,,Lester,,1_MO_EP,,,,,
Sticker_0_1_Lester_2_T2,Are you ready for me to make you a mighty fine sticker?!,4,,Lester,,7_MO_EP,,,,,
Sticker_0_1_Lester_2_T3,,5,,Lester,,9_MC_EP,,,,yes,
Sticker_0_1_Lester_3_T1,I’m excited to get started on your sticker Explorer!,6,,Lester,,7_MO_EP,,,,,
Sticker_0_1_Lester_3_T2,Are you ready?!,7,,Lester,,4_MO_EP,,,,,
Sticker_0_1_Lester_3_T3,,8,,Lester,,4_MC_EP,,,,yes,
,,,,,,,,,,,
$Title,LesterBuy_1_p2,,,,,,,,,,
$Quip Collection,yes,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,sides,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
Sticker_0_1_Lester_4_T1,Let’s see what sticker you’ll get!,0,,Lester,,9_MO_EP,,,,yes,
Sticker_0_1_Lester_5_T1,I’ll whip up something good~ Geckos honor!,1,,Lester,,2_MO_EP,,,,yes,
Sticker_0_1_Lester_6_T1,It’s sticker time Explorer!,2,,Lester,,7_MO_EC,,,,yes,
Sticker_0_1_Lester_7_T1,Wait here! I’ll make a cute sticker in no time!,3,,Lester,,5_MO_EC,,,,yes,
Sticker_0_1_Lester_8_T1,Sit back and enjoy!,4,,Lester,,1_MO_EP,,,,yes,
,,,,,,,,,,,
$Title,LesterBuy_1_p3,,,,,,,,,,
$Quip Collection,yes,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,sides,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
Sticker_0_1_Lester_9_T1,Alright! ,0,,Lester,,10_MO_EP,,,,,
Sticker_0_1_Lester_9_T2,See you later!,1,,Lester,,5_MO_EC,,,,yes,
Sticker_0_1_Lester_10_T1,No? ,2,,Lester,,10_MO_EP,,,,,
Sticker_0_1_Lester_10_T2,Well alright Explorer!,3,,Lester,,1_MO_EP,,,,,
Sticker_0_1_Lester_10_T3,I’ll be here when you decide to come back!,4,,Lester,,6_MO_EP,,,,yes,
Sticker_0_1_Lester_11_T1,That's okay Explorer! ,5,,Lester,,10_MO_EP,,,,,
Sticker_0_1_Lester_11_T2,Come back when you’re in need of a cute sticker ya hear!,6,,Lester,,5_MO_EP,,,,yes,
Sticker_0_1_Lester_12_T1,Aww drats! ,7,,Lester,,10_MO_EP,,,,,
Sticker_0_1_Lester_12_T2,Oh well. ,8,,Lester,,8_MO_EP,,,,,
Sticker_0_1_Lester_12_T3,Maybe next time Explorer!,9,,Lester,,4_MO_EP,,,,yes,
,,,,,,,,,,,
$Title,ChaJuliusWins_1_p1,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
Cha_0_1a_Julius_1_T1,Ha Ha! I win!,0,,Julius,,4_MO_EI,,,,,
Marcus_Laugh,HA HA HA!!!!,1,Marcus,Brutus,6_MO,6_MO,,,,,
Cha_0_1a_Marcus_1_T2,Good job your majesty! ,2,Marcus,Brutus,3_MO,6_MO,,,,,
Cha_0_1a_Marcus_1_T3,Show them who is in charge!,3,Marcus,Brutus,2_MO,6_MO,,,,,
Cha_0_1a_Brutus_2_T1,Heh heh… ,4,Marcus,Brutus,2_MC,8_MO,,,,,
Cha_0_1a_Brutus_2_T2,nice.,5,Marcus,Brutus,2_MC,3_MO,,,,,
Cha_0_1a_Julius_3_T1,I'll be generous and let you challenge me again.,6,Red,Julius,14_MC_EI,4_MO_EI,,,,,
Cha_0_1a_Red_4_T1,It’s okay Explorer! ,7,Red,Julius,1_MO_EP,13_MC_EI,,,,,
Cha_0_1a_Red_4_T2,Let's go practice some more.,8,Red,Julius,2_MO_EP,13_MC_EI,,,,,
,,,,,,,,,,,
$Title,ChaJuliusWins_1_p2,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
